session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min,filt_exclude_specific_datetimeUTC,rgp_station
20150611_REU-SaintGilles_scuba,1970:01:01 00:00:00.000,0,,,,,
20150615_REU-LaSaline_scuba,1970:01:01 00:00:00.000,0,,,,,
20150616_REU-LaSaline_scuba,1970:01:01 00:00:00.000,0,,,,,
20150617_REU-SaintLeu_scuba,1970:01:01 00:00:00.000,0,,,,,
20150619_REU-SaintGilles_scuba,1970:01:01 00:00:00.000,0,,,,,
20150807_REU-LaSaline_scuba,1970:01:01 00:00:00.000,0,,,,,
20150925_REU-LaSaline_scuba,1970:01:01 00:00:00.000,0,,,,,
20151026_REU-LaSaline_scuba,1970:01:01 00:00:00.000,0,,,,,
20151210_REU-LaSaline_scuba,1970:01:01 00:00:00.000,0,,,,,
20151210_REU-SaintGilles_scuba,1970:01:01 00:00:00.000,0,,,,,
