session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min,filt_exclude_specific_datetimeUTC,rgp_station
20230112_REU-ST-GILLES_ASV-1_00,1970:01:01 00:00:00.00,0,[],,,,
20230112_REU-ST-GILLES_ASV-1_01,1970:01:01 00:00:00.00,0,,,,,
20230117_REU-GRANDFOND_ASV-1_00,2023:01:17 05:12:17.80,20,,,,,
20230117_REU-GRANDFOND_ASV-1_01,2023:01:17 06:56:37.251,20,,,,,
20230118_REU-GRANDFOND_ASV-1_00,2023:01:18 05:59:12.479,40,"[[2716456718, 3264256788]]",5,,,
20230118_REU-GRANDFOND_ASV-1_01,2023:01:18 06:37:16.355,10,,,,,
20230131_REU-GRANDFOND_ASV-1_00,2023:01:31 05:03:33.77,20,,7,,,
20230131_REU-GRANDFOND_ASV-1_01,2023:01:31 06:17:25.49,20,,,,"[['2023:01:31 07:02:29.0','2023:01:31 07:03:48.0']]",
20230131_REU-GRANDFOND_ASV-2_00,2023:01:31 05:17:25.78,40,,,,"[['2023:01:31 05:17:42.0','2023:01:31 05:20:02.0'],['2023:01:31 06:06:49.0','2023:01:31 06:07:54.0']]",
20230131_REU-GRANDFOND_ASV-2_01,2023:01:31 06:27:15.79,20,,,,"[['2023:01:31 06:35:12.0','2023:01:31 06:37:41.0']]",
20230203_REU-GRANDFOND_ASV-1_00,2023:02:03 04:44:21.291,20,,,,,
20230203_REU-GRANDFOND_ASV-1_01,2023:02:03 05:46:04.869,60,"[[2962217764,3038617756 ]]",,,,
20230203_REU-GRANDFOND_ASV-1_02,2023:02:03 06:44:49.037,10,,,,,
20230203_REU-GRANDFOND_ASV-2_00,2023:02:03 04:56:15.081,20,,,,"[['2023:02:03 04:56:32.0','2023:02:03 04:57:57.0']]",
20230206_REU-GRANDFOND_ASV-1_00,2023:02:06 05:34:32.862,20,,,,,
20230206_REU-GRANDFOND_ASV-1_01,2023:02:06 06:30:50.925,20,"[[2628338835, 2719958932]]",5,,"[['2023:02:06 07:08:16.0','2023:02:06 07:09:16.0']]",
20230206_REU-GRANDFOND_ASV-2_00,2023:02:06 05:37:12.079,50,,,,"[['2023:02:06 05:39:07.0','2023:02:06 05:39:55.0']]",
20230206_REU-GRANDFOND_ASV-2_01,2023:02:06 06:42:55.468,20,,,,,
20230207_REU-HERMITAGE_ASV-1_00,2023:02:07 06:14:31.200,10,,,,,
20230502_REU-HERMITAGE_ASV-2_00,1970:01:01 00:00:00.00,0,,,,,
20230511_REU-HERMITAGE_ASV-2_00,2023:05:11 18:13:23.533,10,,,,,
20230511_REU-HERMITAGE_ASV-2_01,2023:05:11 18:28:26.936,29,,,,,
20230511_REU-HERMITAGE_ASV-2_02,2023:05:11 18:46:57.995,110,,,,,
20230530_REU-HERMITAGE_ASV-1_00,2023:05:30 07:54:41.04,20,,,,,
20230530_REU-HERMITAGE_ASV-2_00,2023:05:30 07:06:59.11,30,,,,,
20230531_REU-HERMITAGE_ASV-1_00,2023:05:31 05:48:33.65,20,,,,"[['2023:05:31 06:48:55.0','2023:05:31 06:49:14.0']] ",
20230531_REU-HERMITAGE_ASV-1_01,2023:05:31 12:01:58.33,20,,,,,
20230531_REU-HERMITAGE_ASV-2_00,2023:05:31 06:14:37.59,20,,,,,
20230531_REU-HERMITAGE_ASV-2_01,2023:05:31 12:20:54.68,70,,,,,
20230601_REU-HERMITAGE_ASV-1_00,2023:06:01 06:23:30.542,20,,,,,
20230601_REU-HERMITAGE_ASV-1_01,2023:06:01 07:32:45.99,20,,,,,
20230601_REU-HERMITAGE_ASV-2_00,2023:06:01 06:16:52.759,20,,,,,
20230601_REU-HERMITAGE_ASV-2_01,2023:06:01 07:48:02.745,20,,,,,
20230601_REU-HERMITAGE_ASV-2_02,2023:06:01 08:58:18.882,20,,,,,
20230628_REU-CAP-LA-HOUSSAYE_ASV-2_00,2023:06:28 07:44:11.12,20,,,,"[['2023:06:28 07:44:27.0','2023:06:28 07:50:37.0'],['2023:06:28 08:48:24.0','2023:06:28 08:56:24.0']]  ",
20230628_REU-CAP-LA-HOUSSAYE_ASV-2_01,2023:06:28 07:44:10.40,20,,,,"[['2023:06:28 07:44:27.0','2023:06:28 07:50:37.0'],['2023:06:28 08:48:24.0','2023:06:28 08:56:29.0']]  ",
20230628_REU-CAP-LA-HOUSSAYE_ASV-2_02,2023:06:28 07:44:05.08,36,,,,"[['2023:06:28 07:44:22.0','2023:06:28 07:50:37.0'],['2023:06:28 08:48:24.0','2023:06:28 08:56:29.0']]  ",
20230725_REU-ST-GILLES-PENTE-EXTERNE_ASV-1_00,2023:07:25 06:59:23.93,20,,,,,
20230726_REU-HERMITAGE_ASV-1_00,2023:07:26 05:24:20.769,20,,25,,,
20230726_REU-HERMITAGE_ASV-2_00,2023:07:26 05:44:54.953,20,,,,,
